Juistheid;Maximale afwijking;Gemiddelde absolute afwijking;onderwerp;jaarlijks_seizoenspatroon;wekelijks_seizoenspatroon;graad
0,99984509286381;0,6875;0,21387328767123293;Ziekteverzuim;True;True;4
1,003300326713232;0,7421875;0,22003595890410962;Ziekteverzuim;True;True;5
0,9897987615476224;0,8125;0,2206618150684932;Ziekteverzuim;True;True;6
0,9833107678565676;0,8073437499999994;0,2224486301369863;Ziekteverzuim;True;True;7
0,9700267265104446;0,9089062499999994;0,2893369006849315;Ziekteverzuim;True;True;8
0,9753818360318017;0,9128124999999994;0,26030136986301367;Ziekteverzuim;True;True;9
1,0001650917774483;0,7189648437499994;0,19470205479452055;Ziekteverzuim;True;True;10
0,9961685631055456;0,7799999999999994;0,20132363013698631;Ziekteverzuim;True;True;11
1,0030061037435216;0,6549999999999994;0,20680907534246573;Ziekteverzuim;True;True;12
1,0074672280876809;0,6237499999999994;0,2171926369863014;Ziekteverzuim;True;True;13
0,9942347386294134;0,7799999999999994;0,20419263698630136;Ziekteverzuim;True;True;14
0,994191988283387;0,7956249999999994;0,20557876712328765;Ziekteverzuim;True;True;15
0,9902954199793988;0,8268749999999994;0,21070676369863012;Ziekteverzuim;True;True;16
0,9889663871632274;0,8268749999999994;0,2159708904109589;Ziekteverzuim;True;True;17
0,9911189928219649;0,8268749999999994;0,20883047945205474;Ziekteverzuim;True;True;18
1,0279396143818194;0,5612499999999994;0,2964452054794521;Ziekteverzuim;True;True;19
0,9913754948981229;0,8424999999999994;0,2070376712328767;Ziekteverzuim;True;True;20
1,0080732771107601;0,6862499999999994;0,21167465753424664;Ziekteverzuim;True;True;21
0,9921600894840179;0,7487499999999994;0,20935958904109586;Ziekteverzuim;True;True;22
0,9931961566935972;0,7018749999999994;0,20171917808219178;Ziekteverzuim;True;True;23
1,00055667709707;1,019731454546399;0,2817371152032986;Ziekteverzuim;True;False;1
0,9917231558003664;1,0;0,27876391267123285;Ziekteverzuim;True;False;2
0,9997419890880994;0,7890625;0,2422234589041096;Ziekteverzuim;True;False;3
